site_uid,datetime,nitrate_con,r_exc,m_exc,temp_water,ph,spec_cond,diss_oxy_con,diss_oxy_sat,chloro_v,chloro_con,turbi_mean,turbi_var,turbi_med,turbi_bes,turbi_min,turbi_max,dts_temp_water,phosphate_con,ph_v2,spec_cond_v2,diss_oxy_con_v2,diss_oxy_sat_v2,turbi_mean_v2
ARS0001,2020-08-15 06:45:00-05,,0.05,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 07:00:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 07:15:00-05,,0.07,0.07,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 07:30:00-05,,0.05,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 07:45:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 08:00:00-05,,0.06,0.07,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 08:15:00-05,,0.05,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 08:30:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 08:45:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 09:00:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 09:15:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 09:30:00-05,,0.07,0.07,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 09:45:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 10:00:00-05,,0.05,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 10:15:00-05,,0.05,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 10:30:00-05,,0.05,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 10:45:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 11:00:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 11:15:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 11:30:00-05,,0.05,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 11:45:00-05,,0.06,0.07,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 12:00:00-05,,0.06,0.07,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 12:15:00-05,,0.06,0.07,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 12:30:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 12:45:00-05,,0.06,0.07,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 13:00:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 13:15:00-05,,0.05,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 13:30:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 13:45:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 14:00:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 14:15:00-05,,0.06,0.07,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 14:30:00-05,,0.07,0.08,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 14:45:00-05,,0.06,0.07,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 15:00:00-05,,0.07,0.07,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 15:15:00-05,,0.06,0.07,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 15:30:00-05,,0.07,0.07,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 15:45:00-05,,0.06,0.07,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 16:00:00-05,,0.06,0.07,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 16:15:00-05,,0.07,0.07,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 16:30:00-05,,0.06,0.07,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 16:45:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 17:00:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 17:15:00-05,,0.07,0.08,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 17:30:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 17:45:00-05,,0.06,0.06,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 18:00:00-05,,0.07,0.07,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 18:15:00-05,,0.07,0.07,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 18:30:00-05,,0.07,0.08,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 18:45:00-05,,0.07,0.07,,,,,,,,,,,,,,,,,,,,
ARS0001,2020-08-15 19:00:00-05,,0.06,0.07,,,,,,,,,,,,,,,,,,,,
