GEOID,ALAND,AWATER,farm_acre_as_percent,crop_acre_as_percent,area_land_km2,area_water_km2,farm_area_km2,crop_area_km2
08027,1913031958,3364151,34.1,6.13,1913.031958,3.364151,652.3438976780001,117.26885902539999
29123,1280463342,8312953,29.7,7.06,1280.463342,8.312953,380.297612574,90.4007119452
48353,2362061742,5052158,79.9,27.73,2362.061742,5.052158,1887.287331858,654.9997210565999
42127,1879249061,64832669,21.7,9.96,1879.249061,64.832669,407.79704623699996,187.1732064756
36091,2097880370,87571838,13.8,8.03,2097.88037,87.571838,289.50749106,168.45979371099997
48041,1516471988,14824446,77.5,13.35,1516.471988,14.824446,1175.2657907,202.44901039799998
40095,962336585,143420175,73.3,13.4,962.336585,143.420175,705.392716805,128.95310239
24001,1093331712,14931771,13.1,4.9,1093.331712,14.931771,143.22645427199998,53.573253887999996
54103,927380674,8458366,18.0,3.83,927.380674,8.458366,166.92852132,35.5186798142
55053,2558240018,32985363,39.3,21.45,2558.240018,32.985363,1005.388327074,548.742483861
41007,2145196270,661305228,2.8,0.82,2145.19627,661.305228,60.06549555999999,17.590609414
53041,6223151001,86954130,8.0,3.28,6223.151001,86.95413,497.85208008,204.1193528328
36003,2665875177,13153776,24.5,13.47,2665.875177,13.153776,653.139418365,359.0933863419
19031,1500730782,6385832,91.8,83.01,1500.730782,6.385832,1377.670857876,1245.7566221382
18117,1031786463,25425748,40.2,28.33,1031.786463,25.425748,414.778158126,292.3051049679
13089,693144670,9191912,0.3,0.02,693.14467,9.191912,2.07943401,0.138628934
13227,601027940,1693768,11.2,2.72,601.02794,1.693768,67.31512928,16.347959968
30015,10288824961,62565296,81.4,51.51,10288.824961,62.565296,8375.103518254,5299.773737411099
31017,3163296235,9814399,78.7,13.83,3163.296235,9.814399,2489.514136945,437.48386930050003
47013,1243615773,46494677,9.0,3.33,1243.615773,46.494677,111.92541956999999,41.4124052409
37069,1273631713,7304032,34.3,13.61,1273.631713,7.304032,436.85567755899996,173.3412761393
20111,2194957493,20562422,96.4,49.32,2194.957493,20.562422,2115.939023252,1082.5530355476
19027,1474835092,2145349,95.7,87.68,1474.835092,2.145349,1411.417183044,1293.1354086656002
22107,1561204507,99471076,52.4,43.03,1561.204507,99.471076,818.071161668,671.7862993621
47123,1646364006,43812886,26.6,12.4,1646.364006,43.812886,437.93282559600004,204.14913674400003
20075,2580958344,2893322,85.3,68.27,2580.958344,2.893322,2201.557467432,1762.0202614487998
19151,1495047142,3666530,89.2,86.48,1495.047142,3.66653,1333.582050664,1292.9167684016
16045,1449792319,12495804,51.1,7.91,1449.792319,12.495804,740.843875009,114.6785724329
05063,1978631574,19593589,54.7,17.06,1978.631574,19.593589,1082.311470978,337.5545465244
05085,1996628025,82740471,74.4,57.75,1996.628025,82.740471,1485.4912506000003,1153.0526844375
18111,1040539918,4349506,70.4,62.75,1040.539918,4.349506,732.5401022720001,652.9387985449999
13119,677294070,12811302,47.1,12.55,677.29407,12.811302,319.00550697,85.000405785
12051,2994620710,87035817,58.5,27.49,2994.62071,87.035817,1751.85311535,823.221233179
13265,504031039,1915743,14.4,1.73,504.031039,1.915743,72.580469616,8.7197369747
48245,2269793052,611960906,64.0,24.47,2269.793052,611.960906,1452.66755328,555.4183598244
30059,6194911314,7474581,57.6,5.57,6194.911314,7.474581,3568.268916864,345.0565601898
08067,4376522002,25375721,50.8,8.29,4376.522002,25.375721,2223.273177016,362.8136739658
48027,2721755826,95727690,72.4,22.69,2721.755826,95.72769,1970.551218024,617.5663969194001
28069,1984403113,2182350,22.8,3.17,1984.403113,2.18235,452.44390976400007,62.90557868210001
05019,2243130473,43387485,18.6,5.34,2243.130473,43.387485,417.2222679780001,119.78316725820001
41035,15391613763,503712593,12.7,3.88,15391.613763,503.712593,1954.7349479009997,597.1946140044
36075,2464746080,933480216,14.1,6.61,2464.74608,933.480216,347.52919728,162.919715888
01019,1434228753,119702920,34.2,20.54,1434.228753,119.70292,490.5062335260001,294.5905858662
48019,2048666851,17288354,79.7,3.05,2048.666851,17.288354,1632.787480247,62.4843389555
30087,12971010170,44234236,85.2,5.3,12971.01017,44.234236,11051.30066484,687.46353901
35059,9903868964,18464199,77.1,2.0,9903.868964,18.464199,7635.882971243999,198.07737927999997
26153,3033697431,1845664144,2.0,0.79,3033.697431,1845.664144,60.673948620000004,23.966209704900002
36111,2911757797,94596954,8.2,3.35,2911.757797,94.596954,238.764139354,97.54388619950001
34007,573281541,15731653,6.6,3.54,573.281541,15.731653,37.83658170599999,20.2941665514
17083,956433111,20324168,80.3,64.38,956.433111,20.324168,768.015788133,615.7516368618
51085,1211828533,12648364,29.8,20.48,1211.828533,12.648364,361.124902834,248.1824835584
20199,2366348295,140932,76.2,51.84,2366.348295,0.140932,1803.1574007899999,1226.7149561279998
26003,2369911333,10703533792,3.6,1.7,2369.911333,10703.533792,85.316807988,40.288492661
05049,1601111649,5526927,56.6,6.96,1601.111649,5.526927,906.229193334,111.4373707704
48215,4068610437,31102594,62.0,35.5,4068.610437,31.102594,2522.53847094,1444.3567051349999
37155,2453425443,5097482,43.5,35.1,2453.425443,5.097482,1067.240067705,861.152330493
26123,2112606166,119183856,26.1,18.53,2112.606166,119.183856,551.390209326,391.4659225598
41049,5259049905,44372295,86.6,39.39,5259.049905,44.372295,4554.33721773,2071.5397575795
27153,2447451028,89444026,55.1,34.81,2447.451028,89.444026,1348.5455164280002,851.9577028468001
05083,1834026181,60685645,41.3,13.9,1834.026181,60.685645,757.4528127529999,254.929639159
37109,766177348,23377500,28.6,15.9,766.177348,23.3775,219.12672152800002,121.82219833200001
05091,1620232433,31271179,31.6,14.53,1620.232433,31.271179,511.99344882799994,235.41977251489996
12095,2339138134,259141175,18.9,2.71,2339.138134,259.141175,442.0971073259999,63.390643431399994
08111,1003660601,2035929,0.0,0.0,1003.660601,2.035929,0.0,0.0
16041,1717209197,12155421,53.8,31.13,1717.209197,12.155421,923.8585479859998,534.5672230261
13045,1292475855,12301426,26.7,5.71,1292.475855,12.301426,345.09105328499993,73.8003713205
20161,1579167161,31952420,54.9,27.19,1579.167161,31.95242,866.962771389,429.3755510759001
48413,3394546071,87401,96.7,3.64,3394.546071,0.087401,3282.5260506570003,123.56147698440002
51167,1226378115,7588460,56.2,10.79,1226.378115,7.58846,689.22450063,132.3261986085
37027,1222192511,7038401,12.6,4.77,1222.192511,7.038401,153.996256386,58.29858277469999
16065,1215396379,10500827,65.3,53.27,1215.396379,10.500827,793.653835487,647.4416510933
18173,996664713,16155577,42.7,35.08,996.664713,16.155577,425.575832451,349.62998132039996
21001,1049678094,18430783,66.3,29.62,1049.678094,18.430783,695.9365763220001,310.91465144280005
21077,254699793,16518583,51.6,22.58,254.699793,16.518583,131.425093188,57.511213259399995
21097,793480924,9057368,85.5,36.32,793.480924,9.057368,678.4261900199999,288.19227159679997
23023,657803472,300569614,10.9,3.21,657.803472,300.569614,71.700578448,21.1154914512
30097,4805607292,17665081,69.6,4.81,4805.607292,17.665081,3344.702675232,231.14971074519997
48181,2415995947,120112446,72.0,34.68,2415.995947,120.112446,1739.51708184,837.8673944196
42059,1491700969,5253864,30.9,10.18,1491.700969,5.253864,460.935599421,151.8551586442
20051,2330762291,1197085,87.1,46.96,2330.762291,1.197085,2030.093955461,1094.5259718536001
01065,1667907107,32423356,38.3,5.03,1667.907107,32.423356,638.8084219809999,83.89572748210001
01105,1863885725,10952676,35.4,8.95,1863.885725,10.952676,659.81554665,166.8177723875
01033,1534875463,80027136,39.6,22.62,1534.875463,80.027136,607.810683348,347.18882973060005
20151,1903740958,1771939,98.9,77.9,1903.740958,1.771939,1882.7998074620002,1483.0142062820003
21017,750370820,4849018,92.1,40.39,750.37082,4.849018,691.0915252199999,303.074774198
47149,1604162229,12132094,38.6,15.31,1604.162229,12.132094,619.2066203940001,245.5972372599
13075,588450813,15542061,54.3,33.62,588.450813,15.542061,319.52879145900005,197.83716333060002
20101,1858093492,551220,90.8,67.82,1858.093492,0.55122,1687.148890736,1260.1590062743999
